SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_658_62101-LF,STD PALLET BOX SMALL HIGH (KH),G0903,G0903,A0000N,0,0,6.0,302.043,1812.26,0.0,G0903,1,False,1,Legbord,False,False,False
ASM4022_658_62121-LF,STD PALLET BOX MED. HIGH (LH),LZKL,LZKL,A0000N,13,13,34.0,399.672,13588.85,13.0,LZKL,1,True,1,,False,False,False
ASM4022_658_62141-LF,BOTTOM SHEET (PE) 950X800 FT,LZKL,LZKL,A0000N,0,0,133.0,11.592,1541.74,345.0,LZKL,1,True,1,,False,False,False
ASM4022_658_62151-LF,BOTTOM SHEET (PE) 1350X1000 FT,E0001,E0001,A0000N,86,86,87.0,12.2325,1064.23,442.0,E0001,1,False,1,Pallet,True,True,False
ASM4022_658_62181-LF,STD CLEAN RAKO 800X600X233,HZKH,HZKH,A0000N,2,2,6.0,132.762,796.57,7.0,HZKH,1,True,1,,False,False,False
ASM4022_658_67591-LF,LDPE 1100X700X450 (LL),D0702,D0702,A0000N,0,0,35.0,45.49,1592.15,0.0,D0702,1,False,1,Legbord,False,True,False
ASM4022_658_76501-LF,STD CARDB BOX (E-XL),EZKE,EZKE,A0000N,4,4,166.0,3.8955,646.65,25.0,EZKE,1,True,1,,False,False,False
ASM4022_658_76511-LF,STD CARDB FIX (E-XL),EZKE,EZKE,A0000N,4,4,166.0,14.9205,2476.8,24.0,EZKE,1,True,1,,False,False,False
ASM4022_664_13031-LF,MDRC FRONT COVER PLATE BOTTOM,I2001,I2001,A0000N,0,0,2.0,81.84,163.68,1.0,I2001,1,False,1,Pallet,True,True,False
ASM4022_664_33471-LF,SHB-MD TOP COVER ASSY,HZKH,HZKH,A0000N,0,0,6.0,161.21,967.26,4.0,HZKH,1,True,1,,False,False,False
ASM4022_664_78543-LF,NXT WS MK5I CONN PCA TOOL ASSY,EZKE,EZKE,A0000N,52,52,28.0,281.2635,7875.38,330.0,EZKE,1,True,1,,False,False,False
ASM4022_668_02663-P,NXE MDRC CBT ASSY,LZKL,LZKL,A0000N,0,0,1.0,5762.9695,5762.97,0.0,LZKL,1,True,1,,False,False,False
ASM4022_668_03012-LF,MDRC CBTA FRONT PLATE ASSY,F0204,F0204,A0000N,0,0,4.0,329.5,1318.0,0.0,F0204,1,False,1,Legbord,False,False,False
